# SHIELDEVAL RAW v3
# SAMPLE=S06_double_braid
# FIXTURE=TUBE500
# LC=0.5
# DATE=2021-04-12
# CAL=cal_20210412.cal
# COLUMNS=f[Hz] a[dB] phase[deg]
6.918310e+06 107.50 88.3
7.079458e+06 109.10 94.7
7.244360e+06 100.93 81.7
7.413102e+06 102.01 89.8
7.585776e+06 107.37 70.1
7.762471e+06 106.03 40.1
7.943282e+06 106.27 103.6
8.128305e+06 105.56 92.9
8.317638e+06 103.15 101.8
8.511380e+06 104.03 -6.6
8.709636e+06 102.01 46.7
8.912509e+06 104.11 63.4
9.120108e+06 106.53 67.6
9.332543e+06 104.97 94.8
9.549926e+06 101.98 59.3
9.772372e+06 111.18 43.4
1.000000e+07 108.61 41.1
1.023293e+07 105.05 68.0
1.047129e+07 103.26 132.6
1.071519e+07 104.71 108.4
1.096478e+07 103.54 82.7
1.122018e+07 99.11 72.5
1.148154e+07 105.86 91.5
1.174898e+07 102.83 68.4
1.202264e+07 101.54 79.5
1.230269e+07 105.00 91.3
1.258925e+07 103.29 54.6
1.288250e+07 102.69 90.0
1.318257e+07 102.23 91.5
1.348963e+07 101.49 37.5
1.380384e+07 99.70 52.4
1.412538e+07 101.06 65.4
1.445440e+07 100.07 53.3
1.479108e+07 100.20 78.9
1.513561e+07 105.44 56.0
1.548817e+07 99.52 64.0
1.584893e+07 101.68 54.4
1.621810e+07 100.49 55.0
1.659587e+07 102.45 80.3
1.698244e+07 100.96 41.7
1.737801e+07 100.40 77.1
1.778279e+07 97.22 69.9
1.819701e+07 96.86 39.4
1.862087e+07 97.17 56.7
1.905461e+07 101.51 58.7
1.949845e+07 100.06 48.9
1.995262e+07 99.96 64.8
2.041738e+07 100.68 59.7
2.089296e+07 100.94 59.4
2.137962e+07 98.03 61.8
2.187762e+07 97.88 56.8
2.238721e+07 96.78 52.9
2.290868e+07 95.88 38.6
2.344229e+07 97.73 46.5
2.398833e+07 98.01 45.8
2.454709e+07 97.29 64.8
2.511886e+07 96.29 40.3
2.570396e+07 95.99 53.8
2.630268e+07 94.87 43.9
2.691535e+07 94.84 56.7
2.754229e+07 95.43 34.5
2.818383e+07 95.73 56.1
2.884032e+07 97.88 39.1
2.951209e+07 95.28 51.9
3.019952e+07 95.76 48.3
3.090295e+07 94.71 47.1
3.162278e+07 96.99 27.2
3.235937e+07 95.86 60.5
3.311311e+07 96.92 44.6
3.388442e+07 96.53 41.0
3.467369e+07 95.78 24.6
3.548134e+07 96.19 32.7
3.630781e+07 93.87 38.8
3.715352e+07 93.53 40.2
3.801894e+07 94.47 35.0
3.890451e+07 97.39 36.6
3.981072e+07 92.77 27.8
4.073803e+07 94.72 18.0
4.168694e+07 95.05 27.7
4.265795e+07 94.23 21.3
4.365158e+07 94.04 32.8
4.466836e+07 94.46 13.9
4.570882e+07 94.87 22.0
4.677351e+07 91.97 19.0
4.786301e+07 93.74 24.0
4.897788e+07 93.50 10.0
5.011872e+07 94.28 15.0
5.128614e+07 92.96 2.7
5.248075e+07 91.93 16.7
5.370318e+07 93.08 10.0
5.495409e+07 93.90 10.0
5.623413e+07 92.87 6.5
5.754399e+07 92.78 17.3
5.888437e+07 92.17 6.3
6.025596e+07 92.60 0.7
6.165950e+07 92.34 9.6
6.309573e+07 92.79 6.2
6.456542e+07 92.84 1.1
6.606934e+07 92.52 -5.2
6.760830e+07 91.53 -1.4
6.918310e+07 92.53 -0.6
7.079458e+07 91.98 -5.5
7.244360e+07 92.82 -7.5
7.413102e+07 92.77 -3.5
7.585776e+07 93.26 -16.1
7.762471e+07 92.66 -8.1
7.943282e+07 92.85 -16.6
8.128305e+07 93.86 -26.8
8.317638e+07 93.35 -14.3
8.511380e+07 93.89 -18.0
8.709636e+07 92.38 -25.7
8.912509e+07 92.44 -27.9
9.120108e+07 91.79 -17.4
9.332543e+07 92.37 -26.3
9.549926e+07 92.00 -38.9
9.772372e+07 92.32 -36.7
1.000000e+08 92.87 -33.6
1.023293e+08 92.45 -40.1
1.047129e+08 92.55 -33.0
1.071519e+08 92.56 -44.7
1.096478e+08 92.59 -40.2
1.122018e+08 91.92 -42.1
1.148154e+08 93.01 -49.4
1.174898e+08 92.61 -50.8
1.202264e+08 91.71 -47.2
1.230269e+08 91.55 -58.0
1.258925e+08 93.63 -58.1
1.288250e+08 92.05 -61.4
1.318257e+08 91.91 -69.7
1.348963e+08 94.24 -71.4
1.380384e+08 92.03 -70.0
1.412538e+08 94.19 -80.9
1.445440e+08 91.21 -85.6
1.479108e+08 93.08 -85.8
1.513561e+08 92.76 -84.6
1.548817e+08 92.18 -90.1
1.584893e+08 93.64 -103.1
1.621810e+08 91.94 -102.1
1.659587e+08 92.67 -110.2
1.698244e+08 92.48 -108.3
1.737801e+08 93.29 -119.7
1.778279e+08 91.44 -124.4
1.819701e+08 92.81 -127.7
1.862087e+08 91.38 -141.4
1.905461e+08 90.71 -136.9
1.949845e+08 91.11 -166.5
1.995262e+08 91.95 -155.6
2.041738e+08 90.86 -165.4
2.089296e+08 90.93 -173.5
2.137962e+08 91.82 -175.3
2.187762e+08 89.69 176.8
2.238721e+08 89.26 175.3
2.290868e+08 88.18 162.0
2.344229e+08 87.83 151.7
2.398833e+08 86.74 143.3
2.454709e+08 86.46 134.2
2.511886e+08 85.63 125.5
2.570396e+08 84.85 117.1
2.630268e+08 83.98 108.5
2.691535e+08 83.28 98.5
2.754229e+08 82.65 87.9
2.818383e+08 81.87 77.1
2.884032e+08 81.80 63.0
2.951209e+08 81.28 53.0
3.019952e+08 80.79 40.8
3.090295e+08 80.67 26.7
3.162278e+08 80.48 12.6
3.235937e+08 80.89 1.5
3.311311e+08 81.29 -10.4
3.388442e+08 81.70 -21.6
3.467369e+08 82.02 -28.7
3.548134e+08 82.94 -42.4
3.630781e+08 83.06 -55.2
3.715352e+08 83.65 -64.2
3.801894e+08 84.75 -74.7
3.890451e+08 84.41 -85.2
3.981072e+08 85.27 -93.9
4.073803e+08 85.28 -105.6
4.168694e+08 85.14 -119.0
4.265795e+08 86.08 -126.2
4.365158e+08 86.52 -137.7
4.466836e+08 86.41 -154.8
4.570882e+08 86.98 -160.3
4.677351e+08 86.29 179.6
4.786301e+08 86.02 170.1
4.897788e+08 85.03 157.6
5.011872e+08 85.71 140.3
5.128614e+08 85.02 126.9
5.248075e+08 83.33 110.5
5.370318e+08 82.47 94.4
5.495409e+08 81.20 81.3
5.623413e+08 80.24 62.2
5.754399e+08 79.38 38.8
5.888437e+08 78.58 17.1
6.025596e+08 78.60 -7.6
6.165950e+08 78.86 -32.5
6.309573e+08 79.77 -55.5
6.456542e+08 81.09 -78.9
6.606934e+08 82.25 -96.5
6.760830e+08 83.74 -118.3
6.918310e+08 84.67 -138.3
7.079458e+08 85.58 -159.2
7.244360e+08 86.14 -179.2
7.413102e+08 87.34 159.3
7.585776e+08 86.03 137.6
7.762471e+08 87.18 118.1
7.943282e+08 86.78 96.5
8.128305e+08 85.11 79.8
8.317638e+08 84.21 53.2
8.511380e+08 83.06 31.0
8.709636e+08 81.78 1.8
8.912509e+08 81.96 -30.9
9.120108e+08 83.01 -69.6
9.332543e+08 85.40 -103.7
9.549926e+08 89.85 -141.4
9.772372e+08 91.13 -179.1
1.000000e+09 93.86 158.7
