# SHIELDEVAL RAW v3
# SAMPLE=N02_optimised_lineinj
# FIXTURE=LINEINJ
# LC=0.4
# DATE=2021-04-12
# CAL=cal_20210412.cal
# COLUMNS=f[Hz] a[dB] phase[deg]
6.456542e+06 92.65 -95.6
6.606934e+06 92.64 -97.4
6.760830e+06 91.05 -93.2
6.918310e+06 92.16 -103.1
7.079458e+06 92.27 -94.1
7.244360e+06 92.44 -88.3
7.413102e+06 91.97 -107.5
7.585776e+06 91.31 -101.5
7.762471e+06 91.21 -103.6
7.943282e+06 91.12 -97.1
8.128305e+06 91.30 -97.8
8.317638e+06 90.65 -89.9
8.511380e+06 91.29 -104.8
8.709636e+06 91.10 -94.2
8.912509e+06 89.43 -100.4
9.120108e+06 89.46 -97.3
9.332543e+06 89.04 -99.5
9.549926e+06 89.32 -97.4
9.772372e+06 88.79 -103.0
1.000000e+07 89.17 -97.0
1.023293e+07 88.95 -98.5
1.047129e+07 88.27 -106.4
1.071519e+07 87.97 -102.5
1.096478e+07 87.90 -100.9
1.122018e+07 88.42 -107.2
1.148154e+07 87.54 -106.2
1.174898e+07 87.70 -105.5
1.202264e+07 87.27 -102.3
1.230269e+07 87.94 -103.4
1.258925e+07 86.73 -106.2
1.288250e+07 86.57 -102.5
1.318257e+07 86.13 -109.3
1.348963e+07 86.74 -99.3
1.380384e+07 85.82 -105.5
1.412538e+07 85.43 -100.8
1.445440e+07 86.26 -107.8
1.479108e+07 86.28 -108.4
1.513561e+07 86.16 -106.7
1.548817e+07 85.19 -105.9
1.584893e+07 85.18 -111.4
1.621810e+07 85.10 -109.5
1.659587e+07 85.05 -109.3
1.698244e+07 84.50 -109.4
1.737801e+07 84.26 -109.7
1.778279e+07 84.25 -110.9
1.819701e+07 83.83 -110.5
1.862087e+07 83.58 -108.9
1.905461e+07 83.78 -111.6
1.949845e+07 84.01 -113.6
1.995262e+07 83.06 -113.1
2.041738e+07 83.17 -110.4
2.089296e+07 82.44 -112.3
2.137962e+07 83.22 -111.9
2.187762e+07 82.73 -115.2
2.238721e+07 82.05 -115.5
2.290868e+07 82.10 -115.4
2.344229e+07 81.57 -115.0
2.398833e+07 81.91 -117.2
2.454709e+07 81.58 -116.9
2.511886e+07 81.63 -118.4
2.570396e+07 81.47 -116.8
2.630268e+07 81.12 -120.4
2.691535e+07 80.72 -120.3
2.754229e+07 80.60 -121.2
2.818383e+07 81.01 -120.5
2.884032e+07 80.19 -121.0
2.951209e+07 80.01 -121.0
3.019952e+07 80.46 -122.4
3.090295e+07 79.89 -123.4
3.162278e+07 79.68 -126.2
3.235937e+07 79.65 -124.9
3.311311e+07 79.57 -125.1
3.388442e+07 79.26 -123.7
3.467369e+07 79.14 -125.6
3.548134e+07 78.88 -127.9
3.630781e+07 78.70 -128.6
3.715352e+07 78.63 -129.9
3.801894e+07 78.39 -131.1
3.890451e+07 78.22 -129.3
3.981072e+07 78.23 -133.5
4.073803e+07 77.76 -132.6
4.168694e+07 77.77 -135.7
4.265795e+07 77.49 -136.2
4.365158e+07 77.56 -136.8
4.466836e+07 77.59 -137.8
4.570882e+07 77.09 -138.3
4.677351e+07 77.06 -139.5
4.786301e+07 76.85 -141.0
4.897788e+07 76.61 -140.9
5.011872e+07 76.51 -141.8
5.128614e+07 76.71 -143.1
5.248075e+07 76.75 -143.8
5.370318e+07 76.45 -144.8
5.495409e+07 76.09 -145.1
5.623413e+07 76.06 -148.3
5.754399e+07 76.19 -149.4
5.888437e+07 75.77 -150.5
6.025596e+07 75.61 -151.7
6.165950e+07 75.77 -152.0
6.309573e+07 75.42 -154.2
6.456542e+07 75.48 -153.5
6.606934e+07 75.33 -156.0
6.760830e+07 75.33 -157.0
6.918310e+07 74.97 -158.9
7.079458e+07 75.13 -159.9
7.244360e+07 75.10 -162.4
7.413102e+07 75.01 -163.2
7.585776e+07 74.71 -164.9
7.762471e+07 74.71 -165.3
7.943282e+07 74.55 -167.9
8.128305e+07 74.79 -168.7
8.317638e+07 74.56 -170.1
8.511380e+07 74.50 -172.2
8.709636e+07 74.56 -173.3
8.912509e+07 74.37 -175.4
9.120108e+07 74.37 -175.5
9.332543e+07 74.28 -177.8
9.549926e+07 74.36 179.7
9.772372e+07 74.02 177.5
1.000000e+08 74.34 176.6
1.023293e+08 74.21 175.2
1.047129e+08 74.08 173.5
1.071519e+08 74.28 171.2
1.096478e+08 74.34 168.3
1.122018e+08 74.08 167.8
1.148154e+08 74.18 166.5
1.174898e+08 74.19 164.4
1.202264e+08 74.24 161.9
1.230269e+08 74.02 159.5
1.258925e+08 74.23 158.1
1.288250e+08 74.23 156.6
1.318257e+08 74.29 153.1
1.348963e+08 74.27 151.7
1.380384e+08 74.38 149.5
1.412538e+08 74.29 145.7
1.445440e+08 74.39 143.6
1.479108e+08 74.39 139.8
1.513561e+08 74.51 137.5
1.548817e+08 74.55 135.9
1.584893e+08 74.79 133.2
1.621810e+08 74.87 129.6
1.659587e+08 75.15 126.5
1.698244e+08 75.18 122.1
1.737801e+08 75.19 119.6
1.778279e+08 75.48 115.8
1.819701e+08 75.66 111.1
1.862087e+08 75.86 107.6
1.905461e+08 75.86 103.7
1.949845e+08 76.02 98.9
1.995262e+08 75.92 94.3
2.041738e+08 76.38 86.7
2.089296e+08 76.20 82.2
2.137962e+08 76.71 76.2
2.187762e+08 76.78 69.3
2.238721e+08 76.77 60.8
2.290868e+08 76.71 53.6
2.344229e+08 76.82 44.4
2.398833e+08 76.46 37.4
2.454709e+08 76.43 29.0
2.511886e+08 76.21 18.4
2.570396e+08 75.67 8.9
2.630268e+08 75.24 0.3
2.691535e+08 74.56 -10.4
2.754229e+08 73.96 -19.6
2.818383e+08 73.18 -29.6
2.884032e+08 72.34 -38.6
2.951209e+08 71.57 -48.9
3.019952e+08 70.78 -58.0
3.090295e+08 69.95 -66.5
3.162278e+08 69.19 -77.3
3.235937e+08 68.32 -86.6
3.311311e+08 67.75 -96.7
3.388442e+08 67.04 -107.0
3.467369e+08 66.50 -116.8
3.548134e+08 66.07 -128.3
3.630781e+08 65.71 -139.3
3.715352e+08 65.63 -150.0
3.801894e+08 65.55 -160.6
3.890451e+08 65.44 -171.2
3.981072e+08 65.64 178.6
4.073803e+08 65.84 168.3
4.168694e+08 66.13 158.4
4.265795e+08 66.49 148.6
4.365158e+08 66.85 139.0
4.466836e+08 67.29 129.4
4.570882e+08 67.66 120.2
4.677351e+08 68.21 110.6
4.786301e+08 68.71 99.7
4.897788e+08 69.14 89.3
5.011872e+08 69.53 78.1
5.128614e+08 70.01 66.0
5.248075e+08 70.41 54.0
5.370318e+08 70.65 40.3
5.495409e+08 70.64 25.8
5.623413e+08 70.43 10.4
5.754399e+08 70.12 -5.4
5.888437e+08 69.57 -22.5
6.025596e+08 68.78 -37.9
6.165950e+08 67.88 -53.7
6.309573e+08 66.84 -70.0
6.456542e+08 65.74 -86.6
6.606934e+08 64.76 -103.8
6.760830e+08 63.72 -122.4
6.918310e+08 63.03 -142.4
7.079458e+08 62.58 -163.2
7.244360e+08 62.64 174.9
7.413102e+08 63.02 153.7
7.585776e+08 63.75 133.1
7.762471e+08 64.80 113.4
7.943282e+08 65.92 93.8
8.128305e+08 67.04 74.9
8.317638e+08 68.03 54.6
8.511380e+08 69.09 33.6
8.709636e+08 69.69 11.1
8.912509e+08 69.82 -12.6
9.120108e+08 69.51 -36.6
9.332543e+08 68.72 -58.8
9.549926e+08 67.77 -81.3
9.772372e+08 66.51 -103.3
1.000000e+09 65.39 -126.3
