# SHIELDEVAL RAW v3
# SAMPLE=N03_connector
# FIXTURE=CONN
# LC=0.05
# DATE=2021-04-12
# CAL=cal_20210412.cal
# COLUMNS=f[Hz] a[dB] phase[deg]
7.413102e+06 54.93 88.7
7.585776e+06 54.73 88.7
7.762471e+06 54.56 88.8
7.943282e+06 54.35 88.6
8.128305e+06 54.15 88.5
8.317638e+06 53.95 88.5
8.511380e+06 53.77 88.5
8.709636e+06 53.58 88.6
8.912509e+06 53.36 88.5
9.120108e+06 53.17 88.4
9.332543e+06 52.98 88.5
9.549926e+06 52.78 88.5
9.772372e+06 52.58 88.4
1.000000e+07 52.39 88.3
1.023293e+07 52.19 88.4
1.047129e+07 51.99 88.3
1.071519e+07 51.79 88.4
1.096478e+07 51.59 88.3
1.122018e+07 51.39 88.3
1.148154e+07 51.19 88.3
1.174898e+07 51.00 88.3
1.202264e+07 50.81 88.2
1.230269e+07 50.60 88.2
1.258925e+07 50.40 88.2
1.288250e+07 50.20 88.2
1.318257e+07 50.01 88.2
1.348963e+07 49.79 88.1
1.380384e+07 49.59 88.0
1.412538e+07 49.40 88.0
1.445440e+07 49.21 88.0
1.479108e+07 49.01 87.9
1.513561e+07 48.80 87.8
1.548817e+07 48.61 87.8
1.584893e+07 48.40 87.8
1.621810e+07 48.21 87.7
1.659587e+07 48.01 87.7
1.698244e+07 47.81 87.6
1.737801e+07 47.61 87.6
1.778279e+07 47.41 87.5
1.819701e+07 47.21 87.4
1.862087e+07 47.02 87.3
1.905461e+07 46.82 87.3
1.949845e+07 46.62 87.2
1.995262e+07 46.42 87.2
2.041738e+07 46.22 87.1
2.089296e+07 46.02 87.1
2.137962e+07 45.82 86.9
2.187762e+07 45.63 86.9
2.238721e+07 45.42 86.8
2.290868e+07 45.23 86.7
2.344229e+07 45.03 86.7
2.398833e+07 44.83 86.6
2.454709e+07 44.63 86.5
2.511886e+07 44.44 86.4
2.570396e+07 44.23 86.4
2.630268e+07 44.04 86.3
2.691535e+07 43.84 86.2
2.754229e+07 43.65 86.1
2.818383e+07 43.44 86.0
2.884032e+07 43.25 85.9
2.951209e+07 43.05 85.8
3.019952e+07 42.86 85.7
3.090295e+07 42.65 85.6
3.162278e+07 42.45 85.5
3.235937e+07 42.26 85.4
3.311311e+07 42.06 85.3
3.388442e+07 41.86 85.2
3.467369e+07 41.66 85.1
3.548134e+07 41.46 85.0
3.630781e+07 41.27 84.9
